design,method,method_label,wrong_order,rho,seed,ate_error,cf_rmse,cf_inconsistency,source
design_i,seqot,Seq-OT,False,0.3,16,0.07025752738911267,0.3683340454534019,0.004320674381557654,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,17,0.12270602830736783,0.45088998928950935,0.007926351988244118,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,18,0.04704671199934889,0.39307927126685654,0.004390740542907679,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.3,19,0.11255277210763996,0.3916858318400357,0.006353870078263792,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,0,0.10513042716848559,0.36891361477104945,0.009823453948076431,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,1,0.1685339782313824,0.46164077546556065,0.0058676899492104825,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,2,0.1623377605541701,0.43557237152196904,0.0052914072471301875,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,3,0.20954114090630774,0.43885041027586946,0.00587695731118151,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,4,0.30888153871417284,0.6736710633115816,0.0041735337145326085,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,5,0.22164525243699584,0.4414943566975498,0.005932235483909474,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,6,0.09359509337999837,0.38459796023556736,0.004192750927200658,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,7,0.22179457701935051,0.39115089472106784,0.00570694653802341,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,8,0.19493282264505643,0.46020724877458596,0.004506672388506187,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,9,0.12281007878790637,0.39114702654555744,0.005626829750116485,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,10,0.2513305015364417,0.48207324586158035,0.006105593785574421,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,11,0.15561940443596653,0.39389517340710417,0.011637446530135634,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,12,0.15977245706347842,0.42564650323550096,0.005873367900272978,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,13,0.39562689778399673,0.7479842416460584,0.008425304276159486,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,14,0.008539885557273677,0.3041696262068259,0.005330990355167483,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,15,0.22648802684418634,0.5491245461847675,0.004286867612498029,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,16,0.15310361242214582,0.4212658828615334,0.004061702256141285,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,17,0.21769889800701922,0.5121956184990846,0.007093371044394247,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,18,0.1553932053955659,0.4496447172507087,0.004701829784403908,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.5,19,0.2062784498398071,0.45662842564164124,0.007386000902334738,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,0,0.23040677625122152,0.4378673062375339,0.00972135697220853,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,1,0.3252238078598559,0.5932795219970773,0.00441416034029067,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,2,0.2637248429876853,0.5078148944287535,0.006441161370086091,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,3,0.3395815941266573,0.5347371914011854,0.00688851089967036,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,4,0.39166990395805507,0.6951701228842265,0.006370331111190273,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,5,0.3628994141445886,0.5849249716491698,0.0038419060536398703,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,6,0.13853581678068913,0.4433909225319125,0.004198624906115196,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,7,0.3518135494150208,0.5418539730031653,0.00819790824692858,seqot_results_chain.pt
design_i,seqot,Seq-OT,False,0.7,8,0.30406652264601075,0.5326578118972312,0.005379303577263932,seqot_results_chain.pt
