design,method,method_label,wrong_order,rho,n_raw,n_trimmed,ate_error_mean,ate_error_sd,ate_error_median,ate_error_q05,ate_error_q95,cf_rmse_mean,cf_rmse_sd,cf_rmse_median,cf_rmse_q05,cf_rmse_q95,cf_inconsistency_mean,cf_inconsistency_sd,cf_inconsistency_median,cf_inconsistency_q05,cf_inconsistency_q95
design_i,cocycles,Cocycles,False,0.3,20,16,0.12004579929634929,0.054446808028367426,0.12208332493901253,0.05268501117825508,0.20986183360219002,0.27713382709771395,0.11246779451740323,0.24404926598072052,0.15630406886339188,0.4712674394249916,,,,,
design_i,cocycles,Cocycles,False,0.5,20,16,0.0751355126267299,0.04715497485906811,0.06463323533535004,0.0296625099144876,0.15853692218661308,0.18350830487906933,0.06016839908330648,0.18118318170309067,0.11337793432176113,0.2869541496038437,,,,,
design_i,cocycles,Cocycles,False,0.7,20,16,0.10330576309934258,0.11471459630994484,0.07324105128645897,0.038262209855020046,0.24308480322360992,0.23886257270351052,0.22430886031503605,0.1767067238688469,0.12733534909784794,0.46300454437732697,,,,,
design_i,cocycles,Cocycles,False,0.9,20,16,0.13863017346011475,0.23189587199645334,0.06414569355547428,0.02803952363319695,0.3908624090254307,0.2581763630732894,0.3263971738937483,0.16637351363897324,0.1208219863474369,0.6049584820866585,,,,,
design_i,cocycles,Cocycles (wrong order),True,0.1,20,16,0.3106374086346477,0.5018291261175066,0.09273239597678185,0.07721154857426882,1.472041755914688,0.5632689613848925,0.8451421390187323,0.20303255319595337,0.156350240111351,2.6112184524536133,,,,,
design_i,cocycles,Cocycles (wrong order),True,0.3,20,16,0.14096286095445976,0.18616870174185804,0.10384644567966461,0.019493861822411418,0.37801501899957657,0.2724482789635658,0.3044576100031737,0.1949177235364914,0.10514619201421738,0.6199159473180771,,,,,
design_i,cocycles,Cocycles (wrong order),True,0.5,20,16,0.14211070584133267,0.12879532636566368,0.10487662255764008,0.05211846902966499,0.3919498845934868,0.2765733562409878,0.26166871911289163,0.18371756374835968,0.13131609931588173,0.7193505018949509,,,,,
design_i,cocycles,Cocycles (wrong order),True,0.7,20,16,0.25217850832268596,0.6529391149768832,0.07842878252267838,0.02835177816450596,0.8714235499501228,0.5133500946685672,1.065884456017902,0.19287946820259094,0.11096303910017014,1.5582233369350433,,,,,
design_i,cocycles,Cocycles (wrong order),True,0.9,20,16,0.36549818760249764,0.8847905613902238,0.10988519713282585,0.029937356244772673,1.514097273349762,0.5975759117864072,1.2814314968834124,0.2231140285730362,0.09442459791898727,2.285354971885681,,,,,
design_i,ot,OT,False,0.1,20,16,0.0853511844022268,0.040393234023227226,0.07478012936406295,0.03461075594178522,0.14251039505431656,0.2820848052216278,0.025264857494247155,0.2901548234900273,0.24937282469863936,0.31772003006961047,,,,,
design_i,ot,OT,False,0.3,20,16,0.08814798679785124,0.04324214327682904,0.07805110613055424,0.036962301133816294,0.14939999003979543,0.28486938445258003,0.025593334594455053,0.29097560288869695,0.25052627347336026,0.319712585970245,,,,,
design_i,ot,OT,False,0.5,20,16,0.09029223298635342,0.045787363671820805,0.08452920772925313,0.04058144665055889,0.1623151708609175,0.27849154141226173,0.028291299278970145,0.2768287701516812,0.24136611363751817,0.3186381680322465,,,,,
design_i,ot,OT,False,0.7,20,16,0.09103445134148128,0.04674559837426374,0.09039909163295655,0.0332158964823067,0.1651863192283569,0.2593949445379993,0.02884666543196095,0.25060102442987364,0.22187559008334432,0.30125567585364965,,,,,
design_i,ot,OT,False,0.9,20,16,0.09092720691577186,0.043817375343614316,0.08440717577203696,0.035267220021191106,0.1515489425793108,0.22321988097820838,0.03271790156913663,0.22789681815039647,0.18083797319917402,0.2647810901021247,,,,,
design_ii,seqot,Seq-OT,False,0.1,20,14,0.09207627370099751,0.04085829616772649,0.09792244231045498,0.03846311733011715,0.15333030959729987,0.2652231441692447,0.02939590727881814,0.2603127687295004,0.22762798199705914,0.30910997469739593,0.00469470612839003,0.0003934338334692659,0.0047263545572816,0.004016903337893725,0.005188380751196126
design_ii,seqot,Seq-OT,False,0.3,20,14,0.08520784804416581,0.03752594079272677,0.08760016081776908,0.040638440791447156,0.1402888459803703,0.28358924732915497,0.02809876070437753,0.28658027101617894,0.24954790926852785,0.3247892522875169,0.005076237960073639,0.0004557825608703951,0.005085410836900034,0.004420152654138235,0.00579197260129908
design_ii,seqot,Seq-OT,False,0.5,20,14,0.09773154323930346,0.04154714551459657,0.09921454132384547,0.04218830643345801,0.1567672579593388,0.33212685633414585,0.034437477628275794,0.32543437607914427,0.29222164001472006,0.39745991779276946,0.005451799538764469,0.0005388679658199593,0.005423499611971343,0.004796063076377893,0.0062763467737411045
design_ii,seqot,Seq-OT,False,0.7,20,14,0.10460093178731762,0.04073502565398671,0.10272883908970279,0.05422676153394738,0.1627179839805366,0.38813363917132443,0.0365983271635977,0.3770573285017732,0.34902953525713143,0.4542070340075393,0.00583798157679754,0.0005484941020645243,0.005930858978726399,0.005067497212081102,0.006551253915518177
design_ii,seqot,Seq-OT,False,0.9,20,14,0.11341385201728117,0.04398816935646823,0.11022369500002736,0.05836578800167976,0.17713972164056727,0.4861536955631348,0.042477949932806354,0.4802134820766315,0.4364702261245373,0.5548870466038407,0.006219169758001367,0.0007836496069823403,0.006228627850164767,0.005186858392176852,0.007589111458284727
design_ii,seqot,Seq-OT (wrong order),True,0.1,20,14,0.07644628780625987,0.032968523054586675,0.0757265901090228,0.03564158763261705,0.12579331426856608,0.3005179986428909,0.04683018249854092,0.2920232650883089,0.24613023264209088,0.36726315298940976,0.004232829409894564,0.00045864596877452635,0.004067934272188601,0.0036773277112638787,0.004846193831718728
design_ii,seqot,Seq-OT (wrong order),True,0.3,20,14,0.0732848466865481,0.03514786132656333,0.06106223668001302,0.03396581980430669,0.13282083235457684,0.5143036856028054,0.06913794958567132,0.5122549072612372,0.4082207222412551,0.602364140168633,0.00376745608809168,0.000374347044559388,0.0036170268808572046,0.0032742013907419497,0.004289789224539441
